Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location
103,Square Picnic Table,Wood,Aggregate,112 AVENUE NW,3450,WOODCROFT,WARD 02,53.5616023802541,-113.562821550041,"(53.5616023802541, -113.562821550041)"
901,Square Picnic Table,Wood,Aggregate,GATEWAY PARK ROAD SW,5466,CASHMAN,WARD 09,53.4112885998661,-113.499625398368,"(53.4112885998661, -113.499625398368)"
73,Square Picnic Table,Wood,Metal,FOX DRIVE NW,5400,RIVER VALLEY WHITEMUD,WARD 10,53.5040200737657,-113.559440824426,"(53.5040200737657, -113.559440824426)"
226,Square Picnic Table,Wood,Metal,CORONET ROAD NW,6170,DAVIES INDUSTRIAL WEST,WARD 11,53.500726195473,-113.451276512035,"(53.500726195473, -113.451276512035)"
92,Square Picnic Table,Wood,Metal,143A STREET NW,3140,CRESTWOOD,WARD 01,53.5344469166884,-113.569656838288,"(53.5344469166884, -113.569656838288)"
261,Square Picnic Table,Concrete,Aggregate,44 AVENUE NW,6500,MILL WOODS GOLF COURSE,WARD 11,53.4844854919955,-113.422608630937,"(53.4844854919955, -113.422608630937)"
167,Square Picnic Table,Wood,Aggregate,29A AVENUE NW,5180,ERMINESKIN,WARD 10,53.4605984389627,-113.513394730612,"(53.4605984389627, -113.513394730612)"
106,Square Picnic Table,Composite,Metal,CUMBERLAND ROAD NW,3150,CUMBERLAND,WARD 02,53.6077518352235,-113.556820809157,"(53.6077518352235, -113.556820809157)"
161,Square Picnic Table,Wood,Metal,108A STREET NW,5170,EMPIRE PARK,WARD 10,53.4859891926298,-113.510777724152,"(53.4859891926298, -113.510777724152)"
118,Square Picnic Table,Wood,Metal,155 AVENUE NW,3320,OXFORD,WARD 02,53.618096259067,-113.547422546195,"(53.618096259067, -113.547422546195)"
236,Square Picnic Table,Wood,Aggregate,120 AVENUE NW,2550,MONTROSE,WARD 07,53.5729105542051,-113.433159306242,"(53.5729105542051, -113.433159306242)"
278,Square Picnic Table,Wood,Aggregate,MILL WOODS ROAD EAST NW,6530,MINCHAU,WARD 12,53.4690410220484,-113.408813163118,"(53.4690410220484, -113.408813163118)"
407,Square Picnic Table,Wood,Metal,JASPER AVENUE NW,1020,BOYLE STREET,WARD 06,53.5465984341733,-113.476762401549,"(53.5465984341733, -113.476762401549)"
392,Square Picnic Table,Wood,Metal,TOMLINSON COMMON NW,5640,TERWILLEGAR TOWNE,WARD 09,53.4467998272783,-113.587193190781,"(53.4467998272783, -113.587193190781)"
297,Square Picnic Table,Unknown,Unknown,41 AVENUE NW,6370,KINISKI GARDENS,WARD 12,53.4774691055285,-113.404164157071,"(53.4774691055285, -113.404164157071)"
76,Other Table,Wood,Aggregate,93 AVENUE NW,4500,SHERWOOD,WARD 01,53.5287381237787,-113.587195686756,"(53.5287381237787, -113.587195686756)"
851,Square Picnic Table,Wood,Aggregate,84 AVENUE NW,6491,MILL CREEK RAVINE NORTH,WARD 08,53.5211587352955,-113.476038172944,"(53.5211587352955, -113.476038172944)"
746,Square Picnic Table,Wood,Aggregate,RUTHERFORD ROAD SW,5454,RUTHERFORD,WARD 09,53.4220106541759,-113.525321316088,"(53.4220106541759, -113.525321316088)"
229,Square Picnic Table,Wood,Aggregate,36 AVENUE NW,6600,RICHFIELD,WARD 11,53.4691736918588,-113.455047744921,"(53.4691736918588, -113.455047744921)"
803,Square Picnic Table,Wood,Aggregate,195 AVENUE NE,2670,RURAL NORTH EAST HORSE HILL,WARD 04,53.6570339466798,-113.343073156727,"(53.6570339466798, -113.343073156727)"
173,Square Picnic Table,Metal,Metal,109 AVENUE NW,1030,CENTRAL MCDOUGALL,WARD 06,53.5549510641592,-113.503349588189,"(53.5549510641592, -113.503349588189)"
211,Square Picnic Table,Wood,Metal,75 STREET NW,1190,RIVER VALLEY KINNAIRD,WARD 07,53.5563091581932,-113.449936329527,"(53.5563091581932, -113.449936329527)"
263,Square Picnic Table,Wood,Aggregate,54 STREET NW,2380,KENNEDALE INDUSTRIAL,WARD 04,53.5940486284898,-113.421937059011,"(53.5940486284898, -113.421937059011)"
122,Square Picnic Table,Wood,Aggregate,25 AVENUE NW,5070,BLUE QUILL ESTATES,WARD 10,53.4568986448921,-113.538579208526,"(53.4568986448921, -113.538579208526)"
107,Square Picnic Table,Composite,Metal,136 STREET NW,3200,GLENORA,WARD 06,53.5435293224225,-113.556140157053,"(53.5435293224225, -113.556140157053)"
243,Square Picnic Table,Wood,Aggregate,MILL WOODS ROAD SOUTH NW,6200,EKOTA,WARD 11,53.4457331460504,-113.44813893797,"(53.4457331460504, -113.44813893797)"
151,Square Picnic Table,Wood,Metal,111 STREET NW,5270,LENDRUM PLACE,WARD 10,53.4964209260887,-113.517577569937,"(53.4964209260887, -113.517577569937)"
171,Square Picnic Table,Wood,Aggregate,108 STREET NW,5330,QUEEN ALEXANDRA,WARD 08,53.5138662432279,-113.509733167257,"(53.5138662432279, -113.509733167257)"
207,Square Picnic Table,Wood,Aggregate,94 STREET NW,6040,BONNIE DOON,WARD 08,53.5278291677974,-113.470864913838,"(53.5278291677974, -113.470864913838)"
308,Square Picnic Table,Wood,Aggregate,ABBOTTSFIELD ROAD NW,2010,ABBOTTSFIELD,WARD 07,53.5746930240824,-113.39235884732,"(53.5746930240824, -113.39235884732)"
132,Square Picnic Table,Wood,Aggregate,73 AVENUE NW,5040,BELGRAVIA,WARD 08,53.5096807740126,-113.530563144319,"(53.5096807740126, -113.530563144319)"
40,Square Picnic Table,Wood,Aggregate,57 AVENUE NW,4160,GARIEPY,WARD 05,53.493546640282,-113.623335687324,"(53.493546640282, -113.623335687324)"
603,Square Picnic Table,Wood,Aggregate,110A STREET NW,3030,BATURYN,WARD 03,53.6339596022379,-113.513449935248,"(53.6339596022379, -113.513449935248)"
137,Square Picnic Table,Composite,Metal,114 STREET NW,5220,GREENFIELD,WARD 10,53.4728513657919,-113.526002934015,"(53.4728513657919, -113.526002934015)"
299,Square Picnic Table,Wood,Aggregate,37 STREET NW,6030,BISSET,WARD 12,53.4617725163018,-113.398935333161,"(53.4617725163018, -113.398935333161)"
194,Square Picnic Table,Wood,Metal,BLACKWOOD CRESCENT SW,5590,BLACKBURNE,WARD 09,53.4292337851764,-113.500174171522,"(53.4292337851764, -113.500174171522)"
150,Square Picnic Table,Wood,Aggregate,115 STREET NW,3080,CANOSSA,WARD 03,53.633692069339,-113.523115224705,"(53.633692069339, -113.523115224705)"
266,Square Picnic Table,Wood,Aggregate,WOODVALE ROAD EAST NW,6300,HILLVIEW,WARD 11,53.4680463296115,-113.426524397396,"(53.4680463296115, -113.426524397396)"
117,Square Picnic Table,Wood,Metal,124 STREET NW,5260,LANSDOWNE,WARD 10,53.4867885675902,-113.546214597513,"(53.4867885675902, -113.546214597513)"
316,Round Picnic Table,Composite,Metal,HERMITAGE ROAD NW,2120,CANON RIDGE,WARD 04,53.5806251119131,-113.378073252533,"(53.5806251119131, -113.378073252533)"
